"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Switzerland (CH)","19.11.2021 00:00 - 19.11.2021 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","47","","145","591","n/e","1733","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.11.2021 01:00 - 19.11.2021 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10","","148","389","n/e","1741","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.11.2021 02:00 - 19.11.2021 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13","","135","409","n/e","1741","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.11.2021 03:00 - 19.11.2021 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12","","137","384","n/e","1733","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.11.2021 04:00 - 19.11.2021 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","16","","145","366","n/e","1732","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.11.2021 05:00 - 19.11.2021 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","35","","150","423","n/e","1731","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.11.2021 06:00 - 19.11.2021 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","188","","191","1376","n/e","1729","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.11.2021 07:00 - 19.11.2021 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1044","","207","2520","n/e","1729","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.11.2021 08:00 - 19.11.2021 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1002","","220","2495","n/e","1730","n/e","n/e","27","n/e","n/e","0"
"Switzerland (CH)","19.11.2021 09:00 - 19.11.2021 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","895","","222","2408","n/e","1730","n/e","n/e","82","n/e","n/e","0"
